Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
CSA,UCSHDD,UCS-S3260-HDW18T,Q3 FY2012,FEB FY2012,0,2021-02-01
CSA,UCSHDD,UCS-S3260-HDW18T,Q3 FY2012,MAR FY2012,42,2021-03-01
CSA,UCSHDD,UCS-S3260-HDW18T,Q3 FY2012,APR FY2012,0,2021-04-01
CSA,UCSHDD,UCS-S3260-HDW18T,Q4 FY2012,JUN FY2012,42,2021-06-01
CSA,UCSHDD,UCS-S3260-HDW18T,Q4 FY2012,JUL FY2012,910,2021-07-01
CSA,UCSHDD,UCS-S3260-HDW18T,Q2 FY2022,JAN FY2022,226,2022-01-01
CSA,UCSHDD,UCS-S3260-HDW18T,Q1 FY2022,AUG FY2022,14,2022-08-01
CSA,UCSHDD,UCS-S3260-HDW18T,Q1 FY2022,SEP FY2022,336,2022-09-01
CSA,UCSHDD,UCS-S3260-HDW18T,Q1 FY2022,OCT FY2022,308,2022-10-01
CSA,UCSHDD,UCS-S3260-HDW18T,Q2 FY2022,NOV FY2022,1526,2022-11-01
CSA,UCSHDD,UCS-S3260-HDW18T,Q2 FY2022,DEC FY2022,689,2022-12-01
