Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
CSA,UCSB,UCSB-B200-M5,Q4 FY2002,JUN FY2002,73,2017-06-01
CSA,UCSB,UCSB-B200-M5,Q4 FY2002,JUL FY2002,1582,2017-07-01
CSA,UCSB,UCSB-B200-M5,Q2 FY2008,JAN FY2008,4292,2018-01-01
CSA,UCSB,UCSB-B200-M5,Q3 FY2008,FEB FY2008,3487,2018-02-01
CSA,UCSB,UCSB-B200-M5,Q3 FY2008,MAR FY2008,4405,2018-03-01
CSA,UCSB,UCSB-B200-M5,Q3 FY2008,APR FY2008,6216,2018-04-01
CSA,UCSB,UCSB-B200-M5,Q4 FY2008,MAY FY2008,4220,2018-05-01
CSA,UCSB,UCSB-B200-M5,Q4 FY2008,JUN FY2008,6111,2018-06-01
CSA,UCSB,UCSB-B200-M5,Q4 FY2008,JUL FY2008,8736,2018-07-01
CSA,UCSB,UCSB-B200-M5,Q1 FY2008,AUG FY2008,365,2018-08-01
CSA,UCSB,UCSB-B200-M5,Q1 FY2008,SEP FY2008,539,2018-09-01
CSA,UCSB,UCSB-B200-M5,Q1 FY2008,OCT FY2008,3936,2018-10-01
CSA,UCSB,UCSB-B200-M5,Q2 FY2008,NOV FY2008,2147,2018-11-01
CSA,UCSB,UCSB-B200-M5,Q2 FY2008,DEC FY2008,3581,2018-12-01
CSA,UCSB,UCSB-B200-M5,Q2 FY2007,JAN FY2007,7628,2019-01-01
CSA,UCSB,UCSB-B200-M5,Q3 FY2007,FEB FY2007,4510,2019-02-01
CSA,UCSB,UCSB-B200-M5,Q3 FY2007,MAR FY2007,7747,2019-03-01
CSA,UCSB,UCSB-B200-M5,Q3 FY2007,APR FY2007,11127,2019-04-01
CSA,UCSB,UCSB-B200-M5,Q4 FY2007,MAY FY2007,7512,2019-05-01
CSA,UCSB,UCSB-B200-M5,Q4 FY2007,JUN FY2007,7260,2019-06-01
CSA,UCSB,UCSB-B200-M5,Q4 FY2007,JUL FY2007,12041,2019-07-01
CSA,UCSB,UCSB-B200-M5,Q1 FY2007,AUG FY2007,3751,2019-08-01
CSA,UCSB,UCSB-B200-M5,Q1 FY2007,SEP FY2007,5568,2019-09-01
CSA,UCSB,UCSB-B200-M5,Q1 FY2007,OCT FY2007,9586,2019-10-01
CSA,UCSB,UCSB-B200-M5,Q2 FY2007,NOV FY2007,8119,2019-11-01
CSA,UCSB,UCSB-B200-M5,Q2 FY2007,DEC FY2007,9338,2019-12-01
CSA,UCSB,UCSB-B200-M5,Q2 FY2011,JAN FY2011,8606,2020-01-01
CSA,UCSB,UCSB-B200-M5,Q3 FY2011,FEB FY2011,4049,2020-02-01
CSA,UCSB,UCSB-B200-M5,Q3 FY2011,MAR FY2011,7386,2020-03-01
CSA,UCSB,UCSB-B200-M5,Q3 FY2011,APR FY2011,11256,2020-04-01
CSA,UCSB,UCSB-B200-M5,Q4 FY2011,MAY FY2011,5018,2020-05-01
CSA,UCSB,UCSB-B200-M5,Q4 FY2011,JUN FY2011,4953,2020-06-01
CSA,UCSB,UCSB-B200-M5,Q4 FY2011,JUL FY2011,10473,2020-07-01
CSA,UCSB,UCSB-B200-M5,Q1 FY2011,AUG FY2011,5002,2020-08-01
CSA,UCSB,UCSB-B200-M5,Q1 FY2011,SEP FY2011,6069,2020-09-01
CSA,UCSB,UCSB-B200-M5,Q1 FY2011,OCT FY2011,10766,2020-10-01
CSA,UCSB,UCSB-B200-M5,Q2 FY2011,NOV FY2011,7060,2020-11-01
CSA,UCSB,UCSB-B200-M5,Q2 FY2011,DEC FY2011,9874,2020-12-01
CSA,UCSB,UCSB-B200-M5,Q2 FY2012,JAN FY2012,7640,2021-01-01
CSA,UCSB,UCSB-B200-M5,Q3 FY2012,FEB FY2012,6494,2021-02-01
CSA,UCSB,UCSB-B200-M5,Q3 FY2012,MAR FY2012,5029,2021-03-01
CSA,UCSB,UCSB-B200-M5,Q3 FY2012,APR FY2012,10558,2021-04-01
CSA,UCSB,UCSB-B200-M5,Q4 FY2012,MAY FY2012,7698,2021-05-01
CSA,UCSB,UCSB-B200-M5,Q4 FY2012,JUN FY2012,7830,2021-06-01
CSA,UCSB,UCSB-B200-M5,Q4 FY2012,JUL FY2012,10190,2021-07-01
CSA,UCSB,UCSB-B200-M5,Q1 FY2012,AUG FY2012,3748,2021-08-01
CSA,UCSB,UCSB-B200-M5,Q1 FY2012,SEP FY2012,5120,2021-09-01
CSA,UCSB,UCSB-B200-M5,Q1 FY2012,OCT FY2012,10904,2021-10-01
CSA,UCSB,UCSB-B200-M5,Q2 FY2012,NOV FY2012,7304,2021-11-01
CSA,UCSB,UCSB-B200-M5,Q2 FY2012,DEC FY2012,7389,2021-12-01
CSA,UCSB,UCSB-B200-M5,Q2 FY2022,JAN FY2022,5235,2022-01-01
CSA,UCSB,UCSB-B200-M5,Q1 FY2022,AUG FY2022,5572,2022-08-01
CSA,UCSB,UCSB-B200-M5,Q1 FY2022,SEP FY2022,4898,2022-09-01
CSA,UCSB,UCSB-B200-M5,Q1 FY2022,OCT FY2022,7720,2022-10-01
CSA,UCSB,UCSB-B200-M5,Q2 FY2022,NOV FY2022,5531,2022-11-01
CSA,UCSB,UCSB-B200-M5,Q2 FY2022,DEC FY2022,3919,2022-12-01
