Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
CSA,UCSC,UCSC-C240-M5SX,Q4 FY2002,JUN FY2002,8,2017-06-01
CSA,UCSC,UCSC-C240-M5SX,Q4 FY2002,JUL FY2002,316,2017-07-01
CSA,UCSC,UCSC-C240-M5SX,Q2 FY2008,JAN FY2008,725,2018-01-01
CSA,UCSC,UCSC-C240-M5SX,Q3 FY2008,FEB FY2008,467,2018-02-01
CSA,UCSC,UCSC-C240-M5SX,Q3 FY2008,MAR FY2008,781,2018-03-01
CSA,UCSC,UCSC-C240-M5SX,Q3 FY2008,APR FY2008,1256,2018-04-01
CSA,UCSC,UCSC-C240-M5SX,Q4 FY2008,MAY FY2008,577,2018-05-01
CSA,UCSC,UCSC-C240-M5SX,Q4 FY2008,JUN FY2008,1144,2018-06-01
CSA,UCSC,UCSC-C240-M5SX,Q4 FY2008,JUL FY2008,1413,2018-07-01
CSA,UCSC,UCSC-C240-M5SX,Q1 FY2008,AUG FY2008,125,2018-08-01
CSA,UCSC,UCSC-C240-M5SX,Q1 FY2008,SEP FY2008,49,2018-09-01
CSA,UCSC,UCSC-C240-M5SX,Q1 FY2008,OCT FY2008,574,2018-10-01
CSA,UCSC,UCSC-C240-M5SX,Q2 FY2008,NOV FY2008,371,2018-11-01
CSA,UCSC,UCSC-C240-M5SX,Q2 FY2008,DEC FY2008,836,2018-12-01
CSA,UCSC,UCSC-C240-M5SX,Q2 FY2007,JAN FY2007,1775,2019-01-01
CSA,UCSC,UCSC-C240-M5SX,Q3 FY2007,FEB FY2007,950,2019-02-01
CSA,UCSC,UCSC-C240-M5SX,Q3 FY2007,MAR FY2007,1151,2019-03-01
CSA,UCSC,UCSC-C240-M5SX,Q3 FY2007,APR FY2007,1793,2019-04-01
CSA,UCSC,UCSC-C240-M5SX,Q4 FY2007,MAY FY2007,1032,2019-05-01
CSA,UCSC,UCSC-C240-M5SX,Q4 FY2007,JUN FY2007,994,2019-06-01
CSA,UCSC,UCSC-C240-M5SX,Q4 FY2007,JUL FY2007,2641,2019-07-01
CSA,UCSC,UCSC-C240-M5SX,Q1 FY2007,AUG FY2007,587,2019-08-01
CSA,UCSC,UCSC-C240-M5SX,Q1 FY2007,SEP FY2007,642,2019-09-01
CSA,UCSC,UCSC-C240-M5SX,Q1 FY2007,OCT FY2007,1869,2019-10-01
CSA,UCSC,UCSC-C240-M5SX,Q2 FY2007,NOV FY2007,1181,2019-11-01
CSA,UCSC,UCSC-C240-M5SX,Q2 FY2007,DEC FY2007,1409,2019-12-01
CSA,UCSC,UCSC-C240-M5SX,Q2 FY2011,JAN FY2011,1273,2020-01-01
CSA,UCSC,UCSC-C240-M5SX,Q3 FY2011,FEB FY2011,604,2020-02-01
CSA,UCSC,UCSC-C240-M5SX,Q3 FY2011,MAR FY2011,1269,2020-03-01
CSA,UCSC,UCSC-C240-M5SX,Q3 FY2011,APR FY2011,1539,2020-04-01
CSA,UCSC,UCSC-C240-M5SX,Q4 FY2011,MAY FY2011,597,2020-05-01
CSA,UCSC,UCSC-C240-M5SX,Q4 FY2011,JUN FY2011,932,2020-06-01
CSA,UCSC,UCSC-C240-M5SX,Q4 FY2011,JUL FY2011,1607,2020-07-01
CSA,UCSC,UCSC-C240-M5SX,Q1 FY2011,AUG FY2011,714,2020-08-01
CSA,UCSC,UCSC-C240-M5SX,Q1 FY2011,SEP FY2011,1212,2020-09-01
CSA,UCSC,UCSC-C240-M5SX,Q1 FY2011,OCT FY2011,1393,2020-10-01
CSA,UCSC,UCSC-C240-M5SX,Q2 FY2011,NOV FY2011,995,2020-11-01
CSA,UCSC,UCSC-C240-M5SX,Q2 FY2011,DEC FY2011,1177,2020-12-01
CSA,UCSC,UCSC-C240-M5SX,Q2 FY2012,JAN FY2012,1708,2021-01-01
CSA,UCSC,UCSC-C240-M5SX,Q3 FY2012,FEB FY2012,734,2021-02-01
CSA,UCSC,UCSC-C240-M5SX,Q3 FY2012,MAR FY2012,879,2021-03-01
CSA,UCSC,UCSC-C240-M5SX,Q3 FY2012,APR FY2012,971,2021-04-01
CSA,UCSC,UCSC-C240-M5SX,Q4 FY2012,MAY FY2012,719,2021-05-01
CSA,UCSC,UCSC-C240-M5SX,Q4 FY2012,JUN FY2012,818,2021-06-01
CSA,UCSC,UCSC-C240-M5SX,Q4 FY2012,JUL FY2012,1736,2021-07-01
CSA,UCSC,UCSC-C240-M5SX,Q1 FY2012,AUG FY2012,602,2021-08-01
CSA,UCSC,UCSC-C240-M5SX,Q1 FY2012,SEP FY2012,768,2021-09-01
CSA,UCSC,UCSC-C240-M5SX,Q1 FY2012,OCT FY2012,1483,2021-10-01
CSA,UCSC,UCSC-C240-M5SX,Q2 FY2012,NOV FY2012,989,2021-11-01
CSA,UCSC,UCSC-C240-M5SX,Q2 FY2012,DEC FY2012,910,2021-12-01
CSA,UCSC,UCSC-C240-M5SX,Q2 FY2022,JAN FY2022,506,2022-01-01
CSA,UCSC,UCSC-C240-M5SX,Q1 FY2022,AUG FY2022,389,2022-08-01
CSA,UCSC,UCSC-C240-M5SX,Q1 FY2022,SEP FY2022,801,2022-09-01
CSA,UCSC,UCSC-C240-M5SX,Q1 FY2022,OCT FY2022,1270,2022-10-01
CSA,UCSC,UCSC-C240-M5SX,Q2 FY2022,NOV FY2022,472,2022-11-01
CSA,UCSC,UCSC-C240-M5SX,Q2 FY2022,DEC FY2022,522,2022-12-01
