Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q3 FY2008,APR FY2008,2,2018-04-01
SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q4 FY2008,MAY FY2008,14,2018-05-01
SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q4 FY2008,JUN FY2008,42,2018-06-01
SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q4 FY2008,JUL FY2008,106,2018-07-01
SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q2 FY2007,JAN FY2007,120,2019-01-01
SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q3 FY2007,FEB FY2007,111,2019-02-01
SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q3 FY2007,MAR FY2007,190,2019-03-01
SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q3 FY2007,APR FY2007,286,2019-04-01
SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q4 FY2007,MAY FY2007,161,2019-05-01
SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q4 FY2007,JUN FY2007,212,2019-06-01
SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q4 FY2007,JUL FY2007,472,2019-07-01
SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q1 FY2007,AUG FY2007,56,2019-08-01
SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q1 FY2007,SEP FY2007,57,2019-09-01
SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q1 FY2007,OCT FY2007,86,2019-10-01
SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q2 FY2007,NOV FY2007,111,2019-11-01
SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q2 FY2007,DEC FY2007,102,2019-12-01
SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q2 FY2011,JAN FY2011,225,2020-01-01
SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q3 FY2011,FEB FY2011,253,2020-02-01
SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q3 FY2011,MAR FY2011,186,2020-03-01
SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q3 FY2011,APR FY2011,1139,2020-04-01
SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q4 FY2011,MAY FY2011,204,2020-05-01
SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q4 FY2011,JUN FY2011,252,2020-06-01
SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q4 FY2011,JUL FY2011,387,2020-07-01
SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q1 FY2011,AUG FY2011,229,2020-08-01
SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q1 FY2011,SEP FY2011,190,2020-09-01
SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q1 FY2011,OCT FY2011,385,2020-10-01
SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q2 FY2011,NOV FY2011,228,2020-11-01
SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q2 FY2011,DEC FY2011,239,2020-12-01
SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q2 FY2012,JAN FY2012,178,2021-01-01
SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q3 FY2012,FEB FY2012,304,2021-02-01
SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q3 FY2012,MAR FY2012,197,2021-03-01
SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q3 FY2012,APR FY2012,412,2021-04-01
SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q4 FY2012,MAY FY2012,136,2021-05-01
SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q4 FY2012,JUN FY2012,183,2021-06-01
SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q4 FY2012,JUL FY2012,284,2021-07-01
SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q1 FY2012,AUG FY2012,297,2021-08-01
SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q1 FY2012,SEP FY2012,389,2021-09-01
SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q1 FY2012,OCT FY2012,366,2021-10-01
SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q2 FY2012,NOV FY2012,158,2021-11-01
SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q2 FY2012,DEC FY2012,172,2021-12-01
SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q2 FY2022,JAN FY2022,109,2022-01-01
SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q1 FY2022,AUG FY2022,107,2022-08-01
SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q1 FY2022,SEP FY2022,167,2022-09-01
SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q1 FY2022,OCT FY2022,161,2022-10-01
SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q2 FY2022,NOV FY2022,139,2022-11-01
SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q2 FY2022,DEC FY2022,76,2022-12-01
