Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q3 FY2014,MAR FY2014,0,2014-03-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q2 FY2015,JAN FY2015,2,2015-01-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q3 FY2015,FEB FY2015,126,2015-02-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q3 FY2015,MAR FY2015,450,2015-03-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q3 FY2015,APR FY2015,674,2015-04-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q4 FY2015,MAY FY2015,668,2015-05-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q4 FY2015,JUN FY2015,1453,2015-06-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q4 FY2015,JUL FY2015,4869,2015-07-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q2 FY2015,DEC FY2015,149,2015-12-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q2 FY2022,JAN FY2022,2079,2016-01-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q3 FY2022,FEB FY2022,1815,2016-02-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q3 FY2022,MAR FY2022,1635,2016-03-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q3 FY2022,APR FY2022,2713,2016-04-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q4 FY2022,MAY FY2022,1513,2016-05-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q4 FY2022,JUN FY2022,2499,2016-06-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q4 FY2022,JUL FY2022,5929,2016-07-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q1 FY2022,AUG FY2022,550,2016-08-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q1 FY2022,SEP FY2022,1711,2016-09-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q1 FY2022,OCT FY2022,2160,2016-10-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q2 FY2022,NOV FY2022,1384,2016-11-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q2 FY2022,DEC FY2022,1429,2016-12-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q2 FY2002,JAN FY2002,3377,2017-01-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q3 FY2002,FEB FY2002,2297,2017-02-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q3 FY2002,MAR FY2002,3026,2017-03-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q3 FY2002,APR FY2002,3383,2017-04-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q4 FY2002,MAY FY2002,3423,2017-05-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q4 FY2002,JUN FY2002,2694,2017-06-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q4 FY2002,JUL FY2002,5728,2017-07-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q1 FY2002,AUG FY2002,1392,2017-08-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q1 FY2002,SEP FY2002,1697,2017-09-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q1 FY2002,OCT FY2002,4028,2017-10-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q2 FY2002,NOV FY2002,1983,2017-11-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q2 FY2002,DEC FY2002,2465,2017-12-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q2 FY2008,JAN FY2008,3221,2018-01-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q3 FY2008,FEB FY2008,2088,2018-02-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q3 FY2008,MAR FY2008,4421,2018-03-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q3 FY2008,APR FY2008,5910,2018-04-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q4 FY2008,MAY FY2008,5032,2018-05-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q4 FY2008,JUN FY2008,3216,2018-06-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q4 FY2008,JUL FY2008,5676,2018-07-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q1 FY2008,AUG FY2008,3789,2018-08-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q1 FY2008,SEP FY2008,2807,2018-09-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q1 FY2008,OCT FY2008,4783,2018-10-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q2 FY2008,NOV FY2008,2678,2018-11-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q2 FY2008,DEC FY2008,5013,2018-12-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q2 FY2007,JAN FY2007,4145,2019-01-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q3 FY2007,FEB FY2007,4015,2019-02-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q3 FY2007,MAR FY2007,3191,2019-03-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q3 FY2007,APR FY2007,3590,2019-04-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q4 FY2007,MAY FY2007,2662,2019-05-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q4 FY2007,JUN FY2007,5510,2019-06-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q4 FY2007,JUL FY2007,4419,2019-07-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q1 FY2007,AUG FY2007,3252,2019-08-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q1 FY2007,SEP FY2007,3136,2019-09-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q1 FY2007,OCT FY2007,5871,2019-10-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q2 FY2007,NOV FY2007,989,2019-11-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q2 FY2007,DEC FY2007,3243,2019-12-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q2 FY2011,JAN FY2011,1853,2020-01-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q3 FY2011,FEB FY2011,4489,2020-02-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q3 FY2011,MAR FY2011,2924,2020-03-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q3 FY2011,APR FY2011,2703,2020-04-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q4 FY2011,MAY FY2011,1416,2020-05-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q4 FY2011,JUN FY2011,1603,2020-06-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q4 FY2011,JUL FY2011,3404,2020-07-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q1 FY2011,AUG FY2011,7058,2020-08-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q1 FY2011,SEP FY2011,2759,2020-09-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q1 FY2011,OCT FY2011,5989,2020-10-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q2 FY2011,NOV FY2011,2455,2020-11-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q2 FY2011,DEC FY2011,6099,2020-12-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q2 FY2012,JAN FY2012,1242,2021-01-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q3 FY2012,FEB FY2012,3298,2021-02-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q3 FY2012,MAR FY2012,4716,2021-03-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q3 FY2012,APR FY2012,3904,2021-04-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q4 FY2012,MAY FY2012,2900,2021-05-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q4 FY2012,JUN FY2012,6306,2021-06-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q4 FY2012,JUL FY2012,7184,2021-07-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q1 FY2012,AUG FY2012,1349,2021-08-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q1 FY2012,SEP FY2012,4001,2021-09-01
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q1 FY2012,OCT FY2012,4821,2021-10-01
