Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
UOPBLRBU,C3650,WS-C3650-48FQM,Q3 FY2022,APR FY2022,115,2016-04-01
UOPBLRBU,C3650,WS-C3650-48FQM,Q4 FY2022,MAY FY2022,66,2016-05-01
UOPBLRBU,C3650,WS-C3650-48FQM,Q4 FY2022,JUN FY2022,210,2016-06-01
UOPBLRBU,C3650,WS-C3650-48FQM,Q4 FY2022,JUL FY2022,1100,2016-07-01
UOPBLRBU,C3650,WS-C3650-48FQM,Q2 FY2002,JAN FY2002,594,2017-01-01
UOPBLRBU,C3650,WS-C3650-48FQM,Q3 FY2002,FEB FY2002,249,2017-02-01
UOPBLRBU,C3650,WS-C3650-48FQM,Q3 FY2002,MAR FY2002,169,2017-03-01
UOPBLRBU,C3650,WS-C3650-48FQM,Q3 FY2002,APR FY2002,479,2017-04-01
UOPBLRBU,C3650,WS-C3650-48FQM,Q4 FY2002,MAY FY2002,345,2017-05-01
UOPBLRBU,C3650,WS-C3650-48FQM,Q4 FY2002,JUN FY2002,342,2017-06-01
UOPBLRBU,C3650,WS-C3650-48FQM,Q4 FY2002,JUL FY2002,639,2017-07-01
UOPBLRBU,C3650,WS-C3650-48FQM,Q1 FY2002,AUG FY2002,102,2017-08-01
UOPBLRBU,C3650,WS-C3650-48FQM,Q1 FY2002,SEP FY2002,143,2017-09-01
UOPBLRBU,C3650,WS-C3650-48FQM,Q1 FY2002,OCT FY2002,511,2017-10-01
UOPBLRBU,C3650,WS-C3650-48FQM,Q2 FY2002,NOV FY2002,161,2017-11-01
UOPBLRBU,C3650,WS-C3650-48FQM,Q2 FY2002,DEC FY2002,488,2017-12-01
UOPBLRBU,C3650,WS-C3650-48FQM,Q2 FY2008,JAN FY2008,364,2018-01-01
UOPBLRBU,C3650,WS-C3650-48FQM,Q3 FY2008,FEB FY2008,238,2018-02-01
UOPBLRBU,C3650,WS-C3650-48FQM,Q3 FY2008,MAR FY2008,307,2018-03-01
UOPBLRBU,C3650,WS-C3650-48FQM,Q3 FY2008,APR FY2008,662,2018-04-01
UOPBLRBU,C3650,WS-C3650-48FQM,Q4 FY2008,MAY FY2008,1184,2018-05-01
UOPBLRBU,C3650,WS-C3650-48FQM,Q4 FY2008,JUN FY2008,227,2018-06-01
UOPBLRBU,C3650,WS-C3650-48FQM,Q4 FY2008,JUL FY2008,985,2018-07-01
UOPBLRBU,C3650,WS-C3650-48FQM,Q1 FY2008,AUG FY2008,849,2018-08-01
UOPBLRBU,C3650,WS-C3650-48FQM,Q1 FY2008,SEP FY2008,330,2018-09-01
UOPBLRBU,C3650,WS-C3650-48FQM,Q1 FY2008,OCT FY2008,1047,2018-10-01
UOPBLRBU,C3650,WS-C3650-48FQM,Q2 FY2008,NOV FY2008,388,2018-11-01
UOPBLRBU,C3650,WS-C3650-48FQM,Q2 FY2008,DEC FY2008,321,2018-12-01
UOPBLRBU,C3650,WS-C3650-48FQM,Q2 FY2007,JAN FY2007,780,2019-01-01
UOPBLRBU,C3650,WS-C3650-48FQM,Q3 FY2007,FEB FY2007,585,2019-02-01
UOPBLRBU,C3650,WS-C3650-48FQM,Q3 FY2007,MAR FY2007,418,2019-03-01
UOPBLRBU,C3650,WS-C3650-48FQM,Q3 FY2007,APR FY2007,524,2019-04-01
UOPBLRBU,C3650,WS-C3650-48FQM,Q4 FY2007,MAY FY2007,209,2019-05-01
UOPBLRBU,C3650,WS-C3650-48FQM,Q4 FY2007,JUN FY2007,343,2019-06-01
UOPBLRBU,C3650,WS-C3650-48FQM,Q4 FY2007,JUL FY2007,372,2019-07-01
UOPBLRBU,C3650,WS-C3650-48FQM,Q1 FY2007,AUG FY2007,164,2019-08-01
UOPBLRBU,C3650,WS-C3650-48FQM,Q1 FY2007,SEP FY2007,250,2019-09-01
UOPBLRBU,C3650,WS-C3650-48FQM,Q1 FY2007,OCT FY2007,431,2019-10-01
UOPBLRBU,C3650,WS-C3650-48FQM,Q2 FY2007,NOV FY2007,589,2019-11-01
UOPBLRBU,C3650,WS-C3650-48FQM,Q2 FY2007,DEC FY2007,489,2019-12-01
